external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJN1fThA0CskARDG7Hp4KOy0M,MG Dental / MG Ortho,Clinică de stomatologie,"Strada Heleșteului 14, București",011988,București,44.4689129,26.0891982,https://www.mgmedical.ro/,+40219369,programaril@mgmedical.ro,https://www.facebook.com/mgdental.ro,,,,,,,,,https://www.google.com/maps/place/MG+Dental+%2F+MG+Ortho/data=!4m7!3m6!1s0x40b2020d84d35737:0x43cb8e82a7c76e0c!8m2!3d44.4689129!4d26.0891982!16s%2Fg%2F1tcx00jx!19sChIJN1fThA0CskARDG7Hp4KOy0M?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
g/11cn6px4dn,Qmed Reșița | Cabinet Stomatologie,Clinică de stomatologie,"Bl A5, Strada Reșița 37, București",040924,București,44.3875999,26.1037316,,+40219622,,,,,,,,,,,"https://www.google.com/maps/place/Qmed+Re%C8%99i%C8%9Ba+%7C+Cabinet+Stomatologie/@44.3875999,26.1037316,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1fe38301b3503:0x3e5b720143d0e8a4!8m2!3d44.3875999!4d26.1037316!16s%2Fg%2F11cn6px4dn?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
ChIJmzISv-L_sUAR3Y5lPC_edik,Vitaldent Implant,Medic parodontolog implantolog,"Strada Mărgeanului 28 Bloc M28, Scara 1, București",052034,București,44.409718,26.059953,,+40771025966,,,,,,,,,,,https://www.google.com/maps/place/Vitaldent+Implant/data=!4m7!3m6!1s0x40b1ffe2bf12329b:0x2976de2f3c658edd!8m2!3d44.409718!4d26.059953!16s%2Fg%2F11v5f0x563!19sChIJmzISv-L_sUAR3Y5lPC_edik?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
g/1hc0rjsnj,Advanced Gentle Dentist,Clinică de stomatologie,"Bloc 104, Scara 2, Apartament 47, Bulevardul Corneliu Coposu 7, București",000000,București,44.4310599,26.1085762,https://www.gentledentist.ro/,+40723726125,contact@gentledentist.ro,,https://www.instagram.com/gentledentist.ro,,https://www.youtube.com/channel/UCBcghE7N33ShAA_wZuISqyQ,,https://www.linkedin.com/company/advanced-gentle-dentist,,,,"https://www.google.com/maps/place/Advanced+Gentle+Dentist/@44.4310599,26.1085762,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ff3c46f0ed11:0x286992eecd540ebd!8m2!3d44.4310599!4d26.1085762!16s%2Fg%2F1hc0rjsnj?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: 08–14; duminică: Închis; luni: 08–20; marți: 08–20
ChIJYz8v2xsCskAR6BQMElfGu-A,Premium Dent,Clinică de stomatologie,"Strada Boiangiu Radu 22, București",011389,București,44.4620963,26.0754607,https://premiumdent.ro/contact/,+40721881299,office@premiumdent.ro,https://www.facebook.com/PremiumDentCabinetStomatologic,https://instagram.com/premiumdentclinic,,,,https://www.linkedin.com/company/premium-dent-cabinet-stomatologic,,,,https://www.google.com/maps/place/Premium+Dent/data=!4m7!3m6!1s0x40b2021bdb2f3f63:0xe0bbc657120c14e8!8m2!3d44.4620963!4d26.0754607!16s%2Fg%2F11hyt1c_6k!19sChIJYz8v2xsCskAR6BQMElfGu-A?authuser=0&hl=ru&rclk=1,open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: Închis; duminică: Închis; luni: 08–20; marți: 08–20
ChIJX47089j5sUARVjgqeZJMbTY,Stomatologie Premium,Clinică de stomatologie,"Strada Mihai Eminescu 81, București",030167,București,44.4480708,26.1068232,https://stomatologie-premium.ro/,+40732161161,stomatologiepremium@gmail.com,,,,,,,,,,https://www.google.com/maps/place/Stomatologie+Premium/data=!4m7!3m6!1s0x40b1f9d8f3f48e5f:0x366d4c92792a3856!8m2!3d44.4480708!4d26.1068232!16s%2Fg%2F11khf5rb9c!19sChIJX47089j5sUARVjgqeZJMbTY?authuser=0&hl=ru&rclk=1,open,miercuri: 11–20; joi: 11–20; vineri: 11–20; sâmbătă: Închis; duminică: Închis; luni: 11–20; marți: 11–20
ChIJA__zTRn_sUARR_rA1PnaCNU,Implant Studio Clinică Stomatologică Bucuresti,Clinică de stomatologie,"Strada Ciprian Porumbescu 7, București",010651,București,44.452113,26.094274,https://implantstudio.ro/consultatie-stomatologica/,+40755900009,contact@implantstudio.ro,https://www.facebook.com/implantstudiobucuresti,https://www.instagram.com/implantstudio.ro,https://api.whatsapp.com/send?phone=0755900009,https://www.youtube.com/channel/UCtCqoFbwSVkxL9JAX2K0BvQ,https://www.tiktok.com/@implantstudio.ro,,,,,https://www.google.com/maps/place/Implant+Studio+Clinic%C4%83+Stomatologic%C4%83+Bucuresti/data=!4m7!3m6!1s0x40b1ff194df3ff03:0xd508daf9d4c0fa47!8m2!3d44.452113!4d26.094274!16s%2Fg%2F11g8whrnd7!19sChIJA__zTRn_sUARR_rA1PnaCNU?authuser=0&hl=ru&rclk=1,open,miercuri: 10–20; joi: 10–20; vineri: 10–20; sâmbătă: Închis; duminică: Închis; luni: 10–20; marți: 10–20
ChIJWz-AC6__sUARgzbLcE9rk_U,Deos Dental,Clinică de stomatologie,"Strada Speranței 20, București",030167,București,44.4378096,26.1083469,https://deosdental.ro/,+40784011430,programari@deosdental.ro,https://facebook.com/Deos-Dental-101183506231068,https://www.instagram.com/deos.dental,https://wa.me/40784011430,https://www.youtube.com/channel/UCk-Vs6-NsneDCJBRglTGSWA,https://www.tiktok.com/@deosdental,https://www.linkedin.com/company/deos-dental,,,,https://www.google.com/maps/place/Deos+Dental/data=!4m7!3m6!1s0x40b1ffaf0b803f5b:0xf5936b4f70cb3683!8m2!3d44.4378096!4d26.1083469!16s%2Fg%2F11sj52hg30!19sChIJWz-AC6__sUARgzbLcE9rk_U?authuser=0&hl=ru&rclk=1,open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: Închis; duminică: Închis; luni: 08–21; marți: 08–21
ChIJ6ULkvnr_sUARKK7U9O4w0RM,DentalMed Kids,Clinică de stomatologie,"Calea 13 Septembrie 102, București",050727,București,44.4250374,26.0754127,https://www.dentalmedkids.ro/,+40726770357,contact@dental-med.ro,https://www.facebook.com/Dentalmed-Luxury-Dental-Clinic-206776372796108,https://www.instagram.com/dentalmedluxury,,https://www.youtube.com/user/DentalMedClinic,https://www.tiktok.com/@dentalmedluxury,,,,,https://www.google.com/maps/place/DentalMed+Kids/data=!4m7!3m6!1s0x40b1ff7abee442e9:0x13d130eef4d4ae28!8m2!3d44.4250374!4d26.0754127!16s%2Fg%2F11b620_w8m!19sChIJ6ULkvnr_sUARKK7U9O4w0RM?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
g/11hyt11f82,Dental Crown Health,Clinică de stomatologie,"Bulevardul Camil Ressu 27B, București",031736,București,44.4178821,26.1477426,https://dentalcrownhealth.ro/contact/,+40764800048,office@dentalcrownhealth.ro,https://www.facebook.com/dentalcrownhealth,,,,,,,,,"https://www.google.com/maps/place/Dental+Crown+Health/@44.4178821,26.1477426,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1fc1ff90589c9:0xb81d2ec5e4cb184f!8m2!3d44.4178821!4d26.1477426!16s%2Fg%2F11hyt11f82?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–20; joi: 09–20; vineri: 09–17; sâmbătă: Închis; duminică: Închis; luni: 09–20; marți: 09–17
g/11rwqtphfg,Dr. Kurbe Center,Clinică de stomatologie,"Corp C1, Strada Delea Nouă 23, București",030925,București,44.4292284,26.1312399,https://drkurbe.com/servicii-dentare/,+40774410373,,https://www.facebook.com/drkurbe,https://www.instagram.com/drkurbe,,,https://www.tiktok.com/@drkurbe,,,,,"https://www.google.com/maps/place/Dr.+Kurbe+Center/@44.4292284,26.1312399,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ff6d4d758ed5:0xa6ac7d1210cd3b55!8m2!3d44.4292284!4d26.1312399!16s%2Fg%2F11rwqtphfg?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",unspecified,
ChIJD69ym9H4sUARjxY5MI26srU,INO Dental - Pantelimon,Clinică de stomatologie,"Șos. Pantelimon 10, București",021591,București,44.4471196,26.133149,https://www.inodental.ro/,+40721584935,office@inodental.ro,https://www.facebook.com/inodentalclinic,https://www.instagram.com/inodental,,https://www.youtube.com/@INODental,https://www.tiktok.com/@inodental,,,,,https://www.google.com/maps/place/INO+Dental+-+Pantelimon/data=!4m7!3m6!1s0x40b1f8d19b72af0f:0xb5b2ba8d3039168f!8m2!3d44.4471196!4d26.133149!16s%2Fg%2F11f53nbw6s!19sChIJD69ym9H4sUARjxY5MI26srU?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
ChIJXT3RjQ4CskARjJ52eY5pFKY,Smile Experts Dental Clinic,Clinică de stomatologie,"Strada Pictor Ion Negulici 13C, București",011941,București,44.465735,26.0905952,https://smile-experts.ro/,+40723651002,,https://www.facebook.com/SmileExperts,,,,,,,,,https://www.google.com/maps/place/Smile+Experts+Dental+Clinic/data=!4m7!3m6!1s0x40b2020e8dd13d5d:0xa614698e79769e8c!8m2!3d44.465735!4d26.0905952!16s%2Fg%2F11h0qb7kk!19sChIJXT3RjQ4CskARjJ52eY5pFKY?authuser=0&hl=ru&rclk=1,open,miercuri: 09:30–20; joi: 09:30–20; vineri: 09:30–20; sâmbătă: 09:30–14:30; duminică: Închis; luni: 09:30–20; marți: 09:30–20
g/11sr9jm2fr,NORTHO,Ortodontist,"Strada Herăstrău 16, București",014192,București,44.4683468,26.0883838,https://www.northo.ro/,+40758886886,contact@northo.ro,https://www.facebook.com/northoortodontie,https://www.instagram.com/northo.ortodontie,https://wa.me/+40758886886,https://www.youtube.com/channel/UCvqZUgeGtw3LpAq4poX5bmw,,,,,,"https://www.google.com/maps/place/NORTHO/@44.4683468,26.0883838,17z/data=!3m1!4b1!4m6!3m5!1s0x40b203e7e1b2282b:0xafd8672ee75dbb81!8m2!3d44.4683468!4d26.0883838!16s%2Fg%2F11sr9jm2fr?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
ChIJF7zA9N_-sUARVFiavw6n0vE,Neoclinique Bucuresti,Clinică de stomatologie,"Strada Theodor D. Speranția 14, București",030935,București,44.424753,26.1247668,https://www.neoclinique.ro/contact/,+40310050884,office@neoclinique.ro,https://www.facebook.com/Neoclinique.ro,https://www.instagram.com/neoclinique_nord,,https://www.youtube.com/channel/UCWJI_SrggQ4f9jO2QIrebOg,,https://www.linkedin.com/company/neoclinique,,https://twitter.com/Neoclinique,,https://www.google.com/maps/place/Neoclinique+Bucuresti/data=!4m7!3m6!1s0x40b1fedff4c0bc17:0xf1d2a70ebf9a5854!8m2!3d44.424753!4d26.1247668!16s%2Fg%2F1hm35sxfj!19sChIJF7zA9N_-sUARVFiavw6n0vE?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 08–21; vineri: Închis; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: Închis
g/1hc21hw7y,Clinica dentara EXCEDENT CITY (Cotroceni),Clinică de stomatologie,"Strada Locotenent Gheorghe Negel 24, București",061344,București,44.4253513,26.0592286,https://excedent.ro/contact/,+40745585877,,https://www.facebook.com/Excedent.ro,,,https://www.youtube.com/@ClinicaEXCEDENT,,,,,,"https://www.google.com/maps/place/Clinica+dentara+EXCEDENT+CITY+(Cotroceni)/@44.4253513,26.0592286,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ffa149eb2753:0x47e617668d554f1d!8m2!3d44.4253513!4d26.0592286!16s%2Fg%2F1hc21hw7y?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
ChIJm6WLLr0DskARBoBrOM1TG0g,Clinica Edent București,Clinică de stomatologie,"Strada Louis Blanc 28, București",011751,București,44.4541062,26.0889565,https://edentclinic.ro/,+40741821821,office@edentclinic.ro,https://www.facebook.com/edentclinic.ro,https://www.instagram.com/edentclinic,,https://www.youtube.com/channel/UCrEZVoVMj5QDGi_gOMXSl5g,,,,,,https://www.google.com/maps/place/Clinica+Edent+Bucure%C8%99ti/data=!4m7!3m6!1s0x40b203bd2e8ba59b:0x481b53cd386b8006!8m2!3d44.4541062!4d26.0889565!16s%2Fg%2F11q3qp8c65!19sChIJm6WLLr0DskARBoBrOM1TG0g?authuser=0&hl=ru&rclk=1,open,miercuri: 08:30–20:30; joi: 08:30–20:30; vineri: 08:30–20:30; sâmbătă: 10–14; duminică: Închis; luni: 08:30–20:30; marți: 08:30–20:30
ChIJvbTRLbP4sUARtFBVVpiZcDo,Dental Expert's Group,Stomatolog,"Strada Aurel Vlaicu 79, București",020093,București,44.4487461,26.1049729,,+40212103966,,,,,,,,,,,https://www.google.com/maps/place/Dental+Expert%27s+Group/data=!4m7!3m6!1s0x40b1f8b32dd1b4bd:0x3a709998565550b4!8m2!3d44.4487461!4d26.1049729!16s%2Fg%2F1w3w1kgb!19sChIJvbTRLbP4sUARtFBVVpiZcDo?authuser=0&hl=ru&rclk=1,open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: 10–14; duminică: Închis; luni: 09–21; marți: 09–21
g/11g9qfl55p,DP Dental,Clinică de stomatologie,"Strada Alexandru Constantinescu 48, București",011474,București,44.4675551,26.0732519,https://dpdental.ro/programare/,+40726769991,contact@dpdental.ro,https://www.facebook.com/doctordanpatroi,https://www.instagram.com/dpdentalromania,,,,,,,,"https://www.google.com/maps/place/DP+Dental/@44.4675551,26.0732519,17z/data=!3m1!4b1!4m6!3m5!1s0x40b20217c3be01df:0xa0a42f4a8ec025db!8m2!3d44.4675551!4d26.0732519!16s%2Fg%2F11g9qfl55p?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: Închis; duminică: Închis; luni: 08–20; marți: 08–20
g/11dxdgsyg0,Eurodent BP,Clinică de stomatologie,"Calea Văcărești 252-254, București",040062,București,44.4110974,26.1143406,https://www.eurodentbp.ro/,+40723817632,eurodent_bp@yahoo.com,https://www.facebook.com/EurodentBP,,,,,,,,,"https://www.google.com/maps/place/Eurodent+BP/@44.4110974,26.1143406,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1fefe88d81fe5:0xf4582efb9a8baec!8m2!3d44.4110974!4d26.1143406!16s%2Fg%2F11dxdgsyg0?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–20; joi: 08–20; vineri: 08–20; sâmbătă: 08–14; duminică: Închis; luni: 08–20; marți: 08–20
g/1tf85lb8,Dentexpert Magic București,Clinică de stomatologie,"Bloc C2, Bulevardul Eroilor 30, București",050514,București,44.4317565,26.0680459,https://dentexpert-magic.ro/,+40219052,office-brasov@dentexpert-magic.ro,https://www.facebook.com/DentexpertBoutique,https://www.instagram.com/dentexpertboutiquecotroceni,https://wa.me/40726996611,,,,,,,"https://www.google.com/maps/place/Dentexpert+Magic+Bucure%C8%99ti/@44.4317565,26.0680459,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ff620abdbbe7:0x79e3097e3ae6b864!8m2!3d44.4317565!4d26.0680459!16s%2Fg%2F1tf85lb8?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
g/12602th3p,LLLDental,Clinică de stomatologie,"Calea Moșilor 296, București",020898,București,44.4457688,26.122117,https://llldental.ro/contact/,+40728320700,clinic@llldental.ro,https://www.facebook.com/LLLDental,https://instagram.com/lll.dental,https://wa.me/40728320700?text=Buna+ziua%21+Vreau+ajutorul+LLL+Dental+pentru%3A,https://www.youtube.com/channel/UC0XhoDcQA61Fh5Ua-wj4YHw,,,,,,"https://www.google.com/maps/place/LLLDental/@44.4457688,26.122117,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1f8cc90fa6351:0x990360b39762a089!8m2!3d44.4457688!4d26.122117!16s%2Fg%2F12602th3p?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–21:30; joi: 08–21:30; vineri: 08–21:30; sâmbătă: Închis; duminică: Închis; luni: 08–21:30; marți: 08–21:30
g/1tmpcfmk,Green Dental,Clinică de stomatologie,"Strada Grigore Alexandrescu 7, București",010621,București,44.4511277,26.0891608,https://greendental.ro/contact/,+40723602020,smile@greendental.ro,https://www.facebook.com/greendental.ro,https://www.instagram.com/green_dental,,https://www.youtube.com/user/GreenDentalClinic,,,,,,"https://www.google.com/maps/place/Green+Dental/@44.4511277,26.0891608,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ff553ee55555:0x30857d4d03a727a8!8m2!3d44.4511277!4d26.0891608!16s%2Fg%2F1tmpcfmk?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: 08–14; duminică: Închis; luni: 08–21; marți: 08–21
g/11gk471wnb,Clinica Dentaline Văcărești,Clinică de stomatologie,"Calea Văcărești 356-358, București",040069,București,44.39867,26.1206727,https://dentaline-clinic.ro/contact,+40736333666,contact@dentaline-clinic.ro,https://www.facebook.com/dentalineluxuryclinic,,,https://www.youtube.com/channel/UCBfUiCPmQ_8-9Tzm9EYaEcg,,https://www.linkedin.com/company/dentaline-clinica-stomatologica,,,,"https://www.google.com/maps/place/Clinica+Dentaline+V%C4%83c%C4%83re%C8%99ti/@44.39867,26.1206727,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ffa2bfa11b95:0x1569115affb61805!8m2!3d44.39867!4d26.1206727!16s%2Fg%2F11gk471wnb?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: 09–14; duminică: Închis; luni: 09–21; marți: 09–21
